service_prefix,name,SOC,PCI,ISO,FedRAMP_High,FedRAMP_Moderate,HIPAA,HITRUST,IRAP,OSPAR,FINMA
servicecatalog,AWS Service Catalog,true,true,true,true,true,true,,true,true,true
servicediscovery,AWS Cloud Map,,true,true,,,true,,,,
servicequotas,Service Quotas,,,,,,,,,,
ses,Amazon SES,true,,true,true,true,true,,true,,true
shield,AWS Shield,true,true,true,true,true,true,,true,true,true
signer,AWS Signer,,,,,,,,,,
sms,AWS Server Migration Service,true,true,true,true,true,true,,true,true,true
sms-voice,Amazon Pinpoint SMS and Voice Service,true,true,true,true,true,,,true,,true
snowball,AWS Snowball,true,true,true,true,true,true,,,true,true
sns,Amazon SNS,true,true,true,true,true,true,,true,true,true
sqs,Amazon SQS,true,true,true,true,true,true,,true,true,true
ssm,AWS Systems Manager,true,true,true,true,true,true,,true,true,true
ssmmessages,Amazon Session Manager Message Gateway Service,,,,,,,,,,
sso,AWS SSO,,,true,,,,,,,
sso-directory,AWS SSO Directory,,,true,,,,,,,
states,AWS Step Functions,true,true,true,true,true,true,,true,true,true
storagegateway,Amazon Storage Gateway,true,true,true,,,true,,true,true,true
sts,AWS Security Token Service,true,true,true,true,true,true,,true,true,true
sumerian,Amazon Sumerian,,,,,,,,,,
support,AWS Support,true,true,true,true,true,true,,true,true,true
swf,Amazon Simple Workflow Service,true,true,true,true,true,true,,true,true,true
synthetics,Amazon CloudWatch Synthetics,,,,,,,,,,
tag,Amazon Resource Group Tagging API,,,,,,,,,,
textract,Amazon Textract,true,true,true,,,true,,,true,true
timestream,AWS Timestream,,true,true,,,true,,,,
transcribe,Amazon Transcribe,true,true,true,true,true,true,,true,true,true
transfer,AWS Transfer for SFTP,true,true,true,,,true,,true,true,true
translate,Amazon Translate,true,true,true,true,true,true,,true,true,true
trustedadvisor,AWS Trusted Advisor,,true,true,true,true,,,true,,
waf,AWS WAF,true,true,true,true,true,true,,true,true,true
waf-regional,AWS WAF Regional,true,true,true,true,true,true,,true,true,true
wafv2,AWS WAF V2,true,true,true,true,true,true,,true,true,true
wam,Amazon WorkSpaces Application Manager,,,,,,,,,,
wellarchitected,AWS Well-Architected Tool,,,,,,,,,,
workdocs,Amazon WorkDocs,true,true,true,true,true,true,,true,true,true
worklink,Amazon WorkLink,true,true,true,,,true,,,,true
workmail,Amazon WorkMail,true,,true,,,,,,,true
workmailmessageflow,Amazon WorkMail Message Flow,,,,,,,,,,
workspaces,Amazon WorkSpaces,true,true,true,true,true,true,,true,true,true
xray,AWS X-Ray,true,true,true,,,true,,,true,true
msk,,,,true,,,true,,,,
healthlake,,,,,,,true,,,,
